user_followersCount,user_account_age_days,launch_month,user_followingCount,user_madePosts_totalCount,user_submittedPosts_totalCount,topics_totalCount,launch_hour,name_len,name_words,description_len,launch_weekday,description_words,successful_launch
6,0,2,0,1,1,3,8,32,1,484,1,58,0
0,131,3,1,1,1,3,8,8,1,177,6,27,0
0,902,3,0,2,2,2,7,9,1,181,1,27,0
181,694,8,114,1,3,2,7,13,2,241,3,37,1
0,11,1,2,3,3,3,8,10,1,144,5,19,1
0,17,2,0,2,2,3,8,14,2,287,0,44,0
0,0,3,0,0,1,3,8,7,1,308,5,43,0
0,0,3,0,1,1,3,7,9,1,454,1,73,0
21,265,2,3,2,2,3,8,5,1,330,1,55,1
0,0,11,0,1,1,2,8,19,3,184,1,27,0
0,0,1,5,1,1,3,8,11,1,497,3,76,1
52,654,11,8,3,3,3,8,7,1,179,2,25,1
10,333,3,2,7,7,2,7,20,4,449,3,66,0
8,158,12,13,13,13,3,8,15,3,340,5,43,0
24,3580,1,3,1,1,4,8,11,1,450,1,73,1
0,0,4,0,1,1,2,7,33,4,262,6,36,0
0,0,2,1,1,1,3,8,23,3,498,1,86,0
0,1,3,0,1,1,3,7,7,1,451,0,69,0
0,637,9,0,1,1,3,7,11,1,224,2,37,0
0,0,5,1,2,2,3,7,40,7,432,6,73,0
0,69,2,0,3,3,4,8,13,1,470,2,74,0
0,3,3,0,1,1,3,7,9,1,423,1,71,0
0,102,2,1,2,2,2,8,8,1,65,1,12,0
0,1,12,2,1,1,3,8,8,1,245,3,35,0
0,1,2,3,1,1,3,8,32,6,474,3,71,0
9,59,4,1,3,2,3,7,6,1,482,2,82,1
1,0,3,3,1,1,3,7,10,1,327,1,54,0
0,1,5,0,1,1,3,7,7,1,271,5,49,0
1,163,11,0,3,3,3,8,17,3,276,3,44,0
0,2,9,14,1,1,3,7,31,4,255,4,39,0
143,3620,11,168,17,12,3,8,9,1,458,2,76,1
0,0,5,0,1,1,3,7,8,1,162,0,29,0
0,0,4,1,1,1,3,7,7,1,500,5,69,0
0,0,3,0,0,1,3,8,12,2,171,0,25,0
0,0,4,0,1,1,3,7,9,1,195,3,28,0
1,240,12,0,2,2,3,8,19,3,427,3,59,0
16,796,3,0,3,3,3,7,13,2,485,5,87,0
0,0,10,0,1,1,3,7,8,1,140,4,20,0
1,0,5,0,2,2,3,7,8,1,325,2,54,0
1,170,8,0,14,17,3,7,20,3,203,0,37,1
4,742,12,7,2,2,3,8,6,1,209,2,32,1
0,0,4,0,1,1,1,7,21,3,163,1,26,0
0,845,3,0,1,1,3,7,7,1,397,4,58,0
0,0,2,0,1,1,3,8,6,1,131,3,20,0
11,1525,10,6,3,3,3,7,14,3,188,2,36,1
0,0,2,0,1,1,3,8,14,2,145,6,18,0
0,23,5,0,0,1,1,7,16,3,236,5,34,0
0,5,5,9,1,1,3,7,7,1,430,6,74,0
0,0,3,0,1,1,3,7,16,2,419,2,67,0
0,107,3,5,3,3,3,7,15,2,407,1,58,0
0,224,2,0,1,1,3,8,18,1,185,4,23,0
0,3,5,1,0,1,3,7,10,1,137,1,23,0
2,77,8,4,1,1,2,7,6,1,139,4,23,0
5,1147,3,0,2,1,3,7,33,5,384,1,67,1
0,4,10,0,1,1,1,7,35,5,211,2,32,0
2,3,2,0,2,2,3,8,9,1,309,5,42,0
27,1011,3,0,9,9,3,8,8,1,123,0,16,0
37,410,11,1,1,1,3,8,11,2,301,1,49,1
1,0,8,0,1,1,3,7,15,2,186,2,27,0
0,22,8,1,1,1,3,7,10,1,100,5,18,0
2,229,1,1,2,2,4,8,13,2,233,5,34,0
0,0,3,0,1,1,3,7,6,1,395,4,62,0
0,3,3,0,1,1,3,7,14,2,410,0,60,0
26,845,3,1,16,16,3,7,29,4,456,1,66,0
32,89,4,0,2,2,4,7,18,1,357,5,54,0
1,13,9,1,0,3,3,7,9,1,11,0,2,0
0,21,2,5,3,3,2,8,10,2,402,2,62,0
2,21,12,0,4,4,3,8,27,4,276,1,37,0
0,1,5,1,0,1,2,7,27,1,142,0,25,0
0,0,5,1,1,1,4,7,6,1,482,2,79,0
0,0,1,0,1,1,3,8,28,6,410,5,65,0
0,0,5,3,1,1,3,7,9,1,414,2,67,0
4,507,9,3,4,4,3,7,7,1,256,5,50,1
0,1,4,0,1,1,3,7,12,3,374,6,60,0
1,58,8,0,1,1,3,7,3,1,238,6,34,1
22,409,5,0,2,2,3,7,8,1,402,1,59,1
1,1063,2,0,0,1,4,8,19,3,267,3,34,0
6,1478,2,0,10,11,3,8,15,1,83,2,16,0
1,0,1,0,1,1,1,8,28,3,189,1,30,0
0,360,9,0,1,1,2,7,8,1,259,0,38,0
1,0,4,1,1,1,4,7,8,1,490,4,75,0
0,65,1,3,2,2,3,8,11,1,214,1,31,0
1006,3982,5,19,5,1,4,7,40,6,145,1,25,0
4,127,2,1,2,2,4,8,36,7,403,4,60,1
0,0,8,2,1,1,4,7,3,1,166,0,28,0
17,110,11,3,10,10,3,8,14,3,226,1,33,1
0,8,5,5,0,1,3,7,12,2,144,4,21,0
2,501,4,5,1,2,3,7,11,1,113,6,14,0
2,1728,4,12,1,1,4,7,9,1,495,3,82,0
44,419,5,0,4,4,2,7,9,1,109,1,18,1
0,3,5,0,1,1,2,7,11,1,398,1,62,0
1,1468,2,0,0,1,3,8,32,4,368,0,56,0
0,1,3,5,2,3,3,7,9,2,358,4,52,0
4,0,12,5,2,2,3,8,29,4,432,3,70,1
0,0,5,5,1,1,3,7,10,1,468,4,67,0
0,0,11,0,1,1,3,8,9,1,416,2,68,0
2,0,3,0,1,1,4,7,29,5,218,4,30,0
0,1,5,0,1,1,3,7,13,2,480,6,80,0
0,1,3,0,1,4,1,7,14,4,133,0,30,0
0,114,1,0,4,5,1,8,9,1,157,2,21,0
0,230,5,0,1,1,4,7,17,4,94,4,15,0
0,14,11,0,3,3,3,8,27,4,430,3,74,0
0,666,8,0,1,1,4,7,30,3,197,4,32,1
12,23,12,8,1,1,3,8,5,1,334,5,56,1
0,0,2,0,1,1,3,8,12,2,476,2,78,0
0,0,4,0,2,2,3,7,23,1,150,5,19,0
5,25,11,85,2,2,3,8,7,1,258,1,33,0
0,36,5,0,2,2,2,7,14,3,400,1,67,0
0,1615,12,0,1,1,3,8,5,1,238,4,38,0
0,23,3,1,1,1,4,7,27,5,440,5,67,0
0,0,9,0,1,1,3,7,26,4,79,3,12,0
1,6,1,5,2,2,3,8,7,1,141,2,20,0
32,92,11,0,1,1,3,8,11,2,224,3,36,1
2,847,9,1,6,6,4,7,12,2,217,1,30,1
0,0,12,0,1,1,3,8,21,3,338,5,47,0
5,409,9,0,2,2,2,7,7,1,67,5,10,1
0,0,1,0,1,1,4,8,13,1,187,0,23,0
0,0,4,0,1,1,1,7,12,2,388,1,61,0
1,39,12,0,2,2,3,8,29,4,392,1,48,0
2,6,3,1,1,1,3,7,36,7,476,1,81,0
2,210,11,8,1,1,3,8,5,1,268,2,37,1
330,4235,5,12,9,30,3,7,22,2,313,3,46,0
0,0,3,0,1,1,1,7,13,3,140,5,23,0
0,0,1,0,1,1,4,8,26,4,445,3,67,0
0,0,2,1,1,1,1,8,6,1,448,2,64,0
5,477,2,0,8,8,3,8,10,2,258,2,33,0
0,6,3,0,1,1,3,7,15,3,157,1,26,0
1,443,12,1,1,2,3,8,5,1,238,4,39,0
31,32,9,0,3,3,3,7,8,1,67,4,11,1
0,0,4,0,1,1,3,7,13,1,322,6,38,0
1,0,1,0,1,1,3,8,10,1,249,3,39,0
0,0,9,0,1,1,1,7,19,2,193,1,18,0
0,8,4,0,1,1,3,7,11,1,352,1,67,0
0,3,5,0,1,1,3,7,8,1,128,5,16,0
0,257,4,0,1,1,1,7,7,1,246,2,40,0
0,2653,5,0,2,2,3,7,11,1,490,2,57,0
0,0,5,0,1,1,4,7,5,1,97,5,14,0
1,0,5,0,1,1,3,7,6,1,392,2,52,0
0,0,5,0,1,1,3,7,38,7,124,4,18,0
0,41,4,0,3,3,3,7,11,3,384,1,56,0
3,195,1,3,26,27,3,8,17,3,498,3,69,0
25874,4440,2,119,17,3718,2,8,4,1,93,6,13,1
0,2,11,0,1,1,3,8,13,2,205,6,33,0
4,33,1,0,1,1,3,8,5,1,242,6,39,1
4,0,12,0,1,1,3,8,13,1,309,0,46,1
0,0,5,0,1,1,3,7,11,1,122,6,17,0
0,356,2,0,1,1,3,8,6,1,100,4,13,0
0,0,3,0,1,1,3,7,10,1,164,1,20,0
1,0,2,0,1,1,3,8,10,1,496,0,80,0
1,2712,4,3,1,1,4,7,8,1,451,6,76,0
11,687,5,1,13,15,2,7,10,2,285,4,46,1
13,66,4,3,2,2,3,7,11,1,468,2,72,1
2,573,12,1,2,2,3,8,11,1,382,1,64,0
7328,4198,9,209,11,277,2,7,34,5,220,2,35,1
0,7,5,0,1,1,3,7,14,2,278,4,47,0
0,36,5,0,1,1,3,7,7,1,256,2,40,0
2,0,1,1,1,1,3,8,15,3,453,2,74,1
0,0,6,0,1,1,3,7,40,8,149,0,22,0
0,1,4,3,1,1,2,7,9,2,494,1,93,0
3835,637,10,97,5,74,3,7,5,1,251,0,41,1
0,0,12,0,2,2,3,8,20,3,341,5,52,0
0,118,6,0,0,1,3,7,9,1,143,0,22,0
0,0,10,5,1,1,4,7,25,4,252,2,40,0
1,231,2,6,1,1,3,8,35,5,496,1,89,0
0,493,12,0,1,1,2,8,26,5,194,4,28,0
2,2162,3,0,1,1,2,7,38,6,215,2,30,0
0,1,3,0,3,3,4,7,8,1,339,6,59,0
1,15,10,5,1,2,3,7,6,1,344,4,46,0
0,0,2,0,0,1,3,8,13,2,392,1,65,0
0,16,5,0,1,1,3,7,7,1,492,0,73,0
0,354,3,0,1,1,3,7,12,2,499,4,74,0
1,2180,9,1,2,2,2,7,12,2,138,1,20,0
1,1043,1,0,2,2,3,8,13,2,476,4,77,0
0,7,5,0,1,1,4,7,7,1,290,0,37,0
21,2375,2,0,9,6,3,8,21,4,152,4,24,1
1,851,9,0,3,3,1,7,11,2,232,5,32,0
0,1538,2,0,1,1,3,8,15,1,487,5,65,0
0,116,2,0,1,1,2,8,5,1,138,1,22,0
0,0,3,0,1,1,1,7,8,1,166,3,21,0
1,0,3,0,1,1,3,8,28,3,479,4,67,0
0,1,8,0,1,1,3,7,17,3,254,3,38,0
0,0,4,0,1,1,3,7,13,2,233,4,41,0
4,363,5,0,8,8,1,7,33,5,121,1,25,0
1,40,8,0,5,5,2,7,24,4,252,2,42,1
5,201,1,0,21,21,3,8,6,1,219,5,38,0
0,1,9,0,1,1,3,7,7,1,229,4,35,0
0,0,4,0,1,1,3,7,38,5,256,2,39,0
0,0,11,0,2,2,3,7,32,6,276,5,52,0
2,0,9,107,3,3,3,7,11,2,180,3,26,0
0,300,4,0,3,3,3,7,7,1,240,1,40,0
0,0,9,0,1,1,3,7,8,2,152,3,22,0
0,12,4,1,1,1,3,7,8,1,392,1,60,0
0,0,3,0,1,1,4,7,29,4,261,1,46,0
1,36,2,0,2,2,3,8,28,4,278,1,41,0
3,76,5,1,1,1,4,7,12,1,371,3,54,1
0,23,4,0,1,2,1,7,40,6,263,5,36,0
0,0,3,0,1,1,3,7,10,1,298,3,38,0
423,1045,9,11,129,42,1,7,16,2,174,3,26,1
0,8,2,0,1,1,3,8,30,4,238,1,38,0
0,220,3,0,4,4,4,7,22,1,447,1,60,0
